x,y,numerical,analytical
0.509804,0.0588235,-0.0245629,-0.0245629
0.529412,0.0588235,-0.0735956,-0.0735954
0.54902,0.0588235,-0.122349,-0.122349
0.568627,0.0588235,-0.170638,-0.170638
0.588235,0.0588235,-0.21828,-0.21828
0.607843,0.0588235,-0.265095,-0.265094
0.627451,0.0588235,-0.310903,-0.310902
0.647059,0.0588235,-0.355532,-0.355531
0.666667,0.0588235,-0.398813,-0.398812
0.686275,0.0588235,-0.44058,-0.440579
0.705882,0.0588235,-0.480677,-0.480676
0.72549,0.0588235,-0.51895,-0.518948
0.745098,0.0588235,-0.555254,-0.555253
0.764706,0.0588235,-0.589452,-0.589451
0.784314,0.0588235,-0.621414,-0.621413
0.803922,0.0588235,-0.651019,-0.651018
0.823529,0.0588235,-0.678155,-0.678153
0.843137,0.0588235,-0.702718,-0.702716
0.862745,0.0588235,-0.724615,-0.724613
0.882353,0.0588235,-0.743763,-0.743762
0.901961,0.0588235,-0.760091,-0.760089
0.921569,0.0588235,-0.773534,-0.773533
0.941176,0.0588235,-0.784044,-0.784042
0.960784,0.0588235,-0.79158,-0.791578
0.980392,0.0588235,-0.796112,-0.796111
0.0196078,0.0784314,0.940903,0.940901
0.0392157,0.0784314,0.935546,0.935544
0.0588235,0.0784314,0.92664,0.926638
0.0784314,0.0784314,0.914219,0.914217
0.0980392,0.0784314,0.89833,0.898328
0.117647,0.0784314,0.879033,0.879031
0.137255,0.0784314,0.856402,0.8564
0.156863,0.0784314,0.830522,0.830521
0.176471,0.0784314,0.801492,0.80149
0.196078,0.0784314,0.769422,0.76942
0.215686,0.0784314,0.734432,0.734431
0.235294,0.0784314,0.696657,0.696656
0.254902,0.0784314,0.656239,0.656238
0.27451,0.0784314,0.613332,0.613331
0.294118,0.0784314,0.568098,0.568097
0.313725,0.0784314,0.52071,0.520708
0.333333,0.0784314,0.471346,0.471345
0.352941,0.0784314,0.420194,0.420193
0.372549,0.0784314,0.367448,0.367447
0.392157,0.0784314,0.313308,0.313307
0.411765,0.0784314,0.25798,0.257979
0.431373,0.0784314,0.201673,0.201672
0.45098,0.0784314,0.144601,0.144601
0.470588,0.0784314,0.0869806,0.0869804
0.490196,0.0784314,0.0290302,0.0290302
0.509804,0.0784314,-0.0290302,-0.0290302
0.529412,0.0784314,-0.0869806,-0.0869804
0.54902,0.0784314,-0.144601,-0.144601
0.568627,0.0784314,-0.201673,-0.201672
0.588235,0.0784314,-0.25798,-0.257979
0.607843,0.0784314,-0.313308,-0.313307
0.627451,0.0784314,-0.367448,-0.367447
0.647059,0.0784314,-0.420194,-0.420193
0.666667,0.0784314,-0.471346,-0.471345
0.686275,0.0784314,-0.52071,-0.520708
0.705882,0.0784314,-0.568098,-0.568097
0.72549,0.0784314,-0.613332,-0.613331
0.745098,0.0784314,-0.656239,-0.656238
