# t = 864000 s, 10 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.50966e+07	148.992
10.101	1.49945e+07	147.984
15.1515	1.48923e+07	146.976
20.202	1.47902e+07	145.968
25.2525	1.4688e+07	144.959
30.303	1.45858e+07	143.951
35.3535	1.44836e+07	142.942
40.404	1.43815e+07	141.934
45.4545	1.42793e+07	140.926
50.5051	1.41771e+07	139.917
55.5556	1.40749e+07	138.909
60.6061	1.39727e+07	137.9
65.6566	1.38705e+07	136.892
70.7071	1.37684e+07	135.883
75.7576	1.36662e+07	134.875
80.8081	1.3564e+07	133.866
85.8586	1.34618e+07	132.858
90.9091	1.33596e+07	131.849
95.9596	1.32575e+07	130.841
101.01	1.31553e+07	129.833
106.061	1.30531e+07	128.824
111.111	1.2951e+07	127.816
116.162	1.28488e+07	126.808
121.212	1.27467e+07	125.8
126.263	1.26445e+07	124.792
131.313	1.25424e+07	123.784
136.364	1.24403e+07	122.776
141.414	1.23381e+07	121.768
146.465	1.2236e+07	120.76
151.515	1.21339e+07	119.752
156.566	1.20318e+07	118.745
161.616	1.19297e+07	117.737
166.667	1.18276e+07	116.729
171.717	1.17255e+07	115.722
176.768	1.16234e+07	114.714
181.818	1.15213e+07	113.706
186.869	1.14192e+07	112.699
191.919	1.13171e+07	111.691
196.97	1.1215e+07	110.684
202.02	1.1113e+07	109.676
207.071	1.10109e+07	108.669
212.121	1.09088e+07	107.661
217.172	1.08067e+07	106.654
222.222	1.07046e+07	105.646
227.273	1.06025e+07	104.639
232.323	1.05004e+07	103.631
237.374	1.03983e+07	102.623
242.424	1.02962e+07	101.616
247.475	1.01941e+07	100.608
252.525	1.0092e+07	99.6
257.576	9.98984e+06	98.592
262.626	9.88769e+06	97.584
267.677	9.78554e+06	96.5758
272.727	9.68338e+06	95.5675
277.778	9.58121e+06	94.5592
282.828	9.47902e+06	93.5507
287.879	9.37682e+06	92.542
292.929	9.2746e+06	91.5332
297.98	9.17237e+06	90.5243
303.03	9.07012e+06	89.5152
308.081	8.96786e+06	88.5059
313.131	8.86557e+06	87.4964
318.182	8.76327e+06	86.4868
323.232	8.66095e+06	85.477
328.283	8.55861e+06	84.4669
333.333	8.45625e+06	83.4567
338.384	8.35387e+06	82.4463
343.434	8.25147e+06	81.4356
348.485	8.14904e+06	80.4248
353.535	8.0466e+06	79.4137
358.586	7.94413e+06	78.4024
363.636	7.84163e+06	77.3909
368.687	7.73912e+06	76.3792
373.737	7.63658e+06	75.3672
378.788	7.53402e+06	74.355
383.838	7.43144e+06	73.3426
388.889	7.32883e+06	72.3299
393.939	7.2262e+06	71.317
398.99	7.12354e+06	70.3039
404.04	7.02087e+06	69.2906
409.091	6.91817e+06	68.277
414.141	6.81544e+06	67.2632
419.192	6.7127e+06	66.2492
424.242	6.60993e+06	65.235
429.293	6.50715e+06	64.2206
434.343	6.40434e+06	63.2059
439.394	6.30151e+06	62.1911
444.444	6.19867e+06	61.1761
449.495	6.0958e+06	60.1609
454.545	5.99292e+06	59.1455
459.596	5.89001e+06	58.1299
464.646	5.78709e+06	57.1142
469.697	5.68416e+06	56.0983
474.747	5.58121e+06	55.0822
479.798	5.47824e+06	54.066
484.848	5.37526e+06	53.0497
489.899	5.27227e+06	52.0333
494.949	5.16927e+06	51.0167
500	5.06625e+06	50
