# t = 86400 s, 1 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.49779e+07	147.82
10.101	1.47577e+07	145.647
15.1515	1.45387e+07	143.486
20.202	1.43218e+07	141.345
25.2525	1.41075e+07	139.23
30.303	1.38964e+07	137.147
35.3535	1.36891e+07	135.101
40.404	1.34863e+07	133.099
45.4545	1.32883e+07	131.146
50.5051	1.30958e+07	129.245
55.5556	1.2909e+07	127.402
60.6061	1.27284e+07	125.619
65.6566	1.25543e+07	123.901
70.7071	1.23869e+07	122.25
75.7576	1.22266e+07	120.667
80.8081	1.20734e+07	119.155
85.8586	1.19275e+07	117.715
90.9091	1.17889e+07	116.347
95.9596	1.16576e+07	115.051
101.01	1.15336e+07	113.828
106.061	1.14169e+07	112.676
111.111	1.13073e+07	111.595
116.162	1.12047e+07	110.582
121.212	1.11089e+07	109.636
126.263	1.10197e+07	108.756
131.313	1.09368e+07	107.938
136.364	1.086e+07	107.18
141.414	1.07891e+07	106.48
146.465	1.07237e+07	105.835
151.515	1.06636e+07	105.241
156.566	1.06084e+07	104.697
161.616	1.0558e+07	104.199
166.667	1.05118e+07	103.744
171.717	1.04698e+07	103.329
176.768	1.04315e+07	102.951
181.818	1.03967e+07	102.607
186.869	1.0365e+07	102.295
191.919	1.03363e+07	102.011
196.97	1.03102e+07	101.753
202.02	1.02864e+07	101.519
207.071	1.02648e+07	101.305
212.121	1.0245e+07	101.11
217.172	1.02268e+07	100.931
222.222	1.021e+07	100.765
227.273	1.01944e+07	100.611
232.323	1.01798e+07	100.466
237.374	1.01658e+07	100.329
242.424	1.01524e+07	100.196
247.475	1.01393e+07	100.067
252.525	1.01263e+07	99.9387
257.576	1.01132e+07	99.8094
262.626	1.00998e+07	99.6772
267.677	1.00859e+07	99.5399
272.727	1.00713e+07	99.3956
277.778	1.00557e+07	99.2421
282.828	1.0039e+07	99.0773
287.879	1.00209e+07	98.8989
292.929	1.00013e+07	98.7047
297.98	9.97973e+06	98.4922
303.03	9.95611e+06	98.2592
308.081	9.93015e+06	98.003
313.131	9.90158e+06	97.721
318.182	9.87013e+06	97.4106
323.232	9.83552e+06	97.069
328.283	9.79746e+06	96.6934
333.333	9.75565e+06	96.2808
338.384	9.70981e+06	95.8284
343.434	9.65963e+06	95.3331
348.485	9.6048e+06	94.792
353.535	9.54503e+06	94.2021
358.586	9.48002e+06	93.5605
363.636	9.40946e+06	92.8642
368.687	9.33309e+06	92.1104
373.737	9.25062e+06	91.2965
378.788	9.16181e+06	90.42
383.838	9.06641e+06	89.4785
388.889	8.96421e+06	88.4699
393.939	8.85503e+06	87.3924
398.99	8.73872e+06	86.2444
404.04	8.61514e+06	85.0249
409.091	8.48423e+06	83.7329
414.141	8.34595e+06	82.3681
419.192	8.20029e+06	80.9305
424.242	8.04731e+06	79.4208
429.293	7.88711e+06	77.8398
434.343	7.71986e+06	76.1891
439.394	7.54574e+06	74.4707
444.444	7.36504e+06	72.6873
449.495	7.17805e+06	70.8419
454.545	6.98516e+06	68.9381
459.596	6.78677e+06	66.9802
464.646	6.58335e+06	64.9726
469.697	6.37541e+06	62.9204
474.747	6.16351e+06	60.8291
479.798	5.94823e+06	58.7045
484.848	5.73021e+06	56.5528
489.899	5.51009e+06	54.3804
494.949	5.28854e+06	52.1939
500	5.06625e+06	50
