# t = 21600 s, 0.25 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.47348e+07	145.422
10.101	1.42778e+07	140.911
15.1515	1.38345e+07	136.536
20.202	1.34108e+07	132.354
25.2525	1.30116e+07	128.414
30.303	1.26407e+07	124.754
35.3535	1.23006e+07	121.397
40.404	1.19925e+07	118.357
45.4545	1.17167e+07	115.635
50.5051	1.14725e+07	113.225
55.5556	1.12585e+07	111.113
60.6061	1.10727e+07	109.279
65.6566	1.09128e+07	107.701
70.7071	1.07765e+07	106.355
75.7576	1.0661e+07	105.216
80.8081	1.05641e+07	104.259
85.8586	1.04831e+07	103.461
90.9091	1.04161e+07	102.799
95.9596	1.03608e+07	102.253
101.01	1.03155e+07	101.806
106.061	1.02786e+07	101.442
111.111	1.02487e+07	101.147
116.162	1.02246e+07	100.909
121.212	1.02052e+07	100.718
126.263	1.01898e+07	100.565
131.313	1.01774e+07	100.443
136.364	1.01676e+07	100.347
141.414	1.01599e+07	100.27
146.465	1.01538e+07	100.21
151.515	1.0149e+07	100.163
156.566	1.01453e+07	100.126
161.616	1.01424e+07	100.097
166.667	1.01401e+07	100.075
171.717	1.01383e+07	100.058
176.768	1.0137e+07	100.044
181.818	1.01359e+07	100.034
186.869	1.01351e+07	100.026
191.919	1.01345e+07	100.02
196.97	1.0134e+07	100.015
202.02	1.01336e+07	100.011
207.071	1.01334e+07	100.009
212.121	1.01331e+07	100.006
217.172	1.0133e+07	100.005
222.222	1.01329e+07	100.004
227.273	1.01328e+07	100.003
232.323	1.01327e+07	100.002
237.374	1.01326e+07	100.001
242.424	1.01326e+07	100.001
247.475	1.01325e+07	100
252.525	1.01325e+07	99.9998
257.576	1.01324e+07	99.9993
262.626	1.01324e+07	99.9988
267.677	1.01323e+07	99.9982
272.727	1.01322e+07	99.9974
277.778	1.01321e+07	99.9965
282.828	1.0132e+07	99.9952
287.879	1.01319e+07	99.9936
292.929	1.01316e+07	99.9915
297.98	1.01314e+07	99.9888
303.03	1.0131e+07	99.9852
308.081	1.01305e+07	99.9805
313.131	1.01299e+07	99.9743
318.182	1.01291e+07	99.9664
323.232	1.0128e+07	99.956
328.283	1.01267e+07	99.9426
333.333	1.01249e+07	99.9253
338.384	1.01227e+07	99.903
343.434	1.01198e+07	99.8743
348.485	1.0116e+07	99.8375
353.535	1.01113e+07	99.7905
358.586	1.01052e+07	99.7306
363.636	1.00975e+07	99.6546
368.687	1.00878e+07	99.5584
373.737	1.00755e+07	99.4372
378.788	1.00601e+07	99.285
383.838	1.00408e+07	99.0947
388.889	1.00168e+07	98.8577
393.939	9.98699e+06	98.5639
398.99	9.95028e+06	98.2016
404.04	9.90522e+06	97.7569
409.091	9.85022e+06	97.2141
414.141	9.78347e+06	96.5553
419.192	9.70294e+06	95.7606
424.242	9.60643e+06	94.8081
429.293	9.49154e+06	93.6742
434.343	9.35578e+06	92.3344
439.394	9.19661e+06	90.7635
444.444	9.01153e+06	88.9369
449.495	8.79824e+06	86.8319
454.545	8.55477e+06	84.429
459.596	8.27964e+06	81.7137
464.646	7.97209e+06	78.6785
469.697	7.63226e+06	75.3245
474.747	7.26132e+06	71.6637
479.798	6.86167e+06	67.7194
484.848	6.43695e+06	63.5277
489.899	5.99203e+06	59.1368
494.949	5.53287e+06	54.6052
500	5.06625e+06	50
