# t = 10800 s, 0.125 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.44945e+07	143.049
10.101	1.38209e+07	136.401
15.1515	1.32013e+07	130.287
20.202	1.26497e+07	124.842
25.2525	1.21714e+07	120.122
30.303	1.17658e+07	116.12
35.3535	1.14282e+07	112.788
40.404	1.11515e+07	110.057
45.4545	1.09278e+07	107.849
50.5051	1.07488e+07	106.083
55.5556	1.06072e+07	104.685
60.6061	1.04961e+07	103.588
65.6566	1.04096e+07	102.734
70.7071	1.03427e+07	102.074
75.7576	1.02912e+07	101.567
80.8081	1.02519e+07	101.179
85.8586	1.0222e+07	100.884
90.9091	1.01994e+07	100.66
95.9596	1.01823e+07	100.492
101.01	1.01695e+07	100.365
106.061	1.01599e+07	100.271
111.111	1.01528e+07	100.2
116.162	1.01474e+07	100.148
121.212	1.01435e+07	100.109
126.263	1.01406e+07	100.08
131.313	1.01384e+07	100.058
136.364	1.01368e+07	100.043
141.414	1.01357e+07	100.031
146.465	1.01348e+07	100.023
151.515	1.01342e+07	100.017
156.566	1.01337e+07	100.012
161.616	1.01334e+07	100.009
166.667	1.01331e+07	100.006
171.717	1.0133e+07	100.005
176.768	1.01328e+07	100.003
181.818	1.01327e+07	100.002
186.869	1.01327e+07	100.002
191.919	1.01326e+07	100.001
196.97	1.01326e+07	100.001
202.02	1.01326e+07	100.001
207.071	1.01325e+07	100
212.121	1.01325e+07	100
217.172	1.01325e+07	100
222.222	1.01325e+07	100
227.273	1.01325e+07	100
232.323	1.01325e+07	100
237.374	1.01325e+07	100
242.424	1.01325e+07	100
247.475	1.01325e+07	100
252.525	1.01325e+07	100
257.576	1.01325e+07	100
262.626	1.01325e+07	99.9999
267.677	1.01325e+07	99.9999
272.727	1.01325e+07	99.9999
277.778	1.01325e+07	99.9998
282.828	1.01325e+07	99.9998
287.879	1.01325e+07	99.9997
292.929	1.01325e+07	99.9995
297.98	1.01324e+07	99.9994
303.03	1.01324e+07	99.9991
308.081	1.01324e+07	99.9988
313.131	1.01323e+07	99.9983
318.182	1.01323e+07	99.9976
323.232	1.01322e+07	99.9967
328.283	1.0132e+07	99.9954
333.333	1.01319e+07	99.9937
338.384	1.01316e+07	99.9913
343.434	1.01313e+07	99.988
348.485	1.01308e+07	99.9835
353.535	1.01302e+07	99.9773
358.586	1.01293e+07	99.9688
363.636	1.01282e+07	99.9573
368.687	1.01266e+07	99.9417
373.737	1.01244e+07	99.9205
378.788	1.01215e+07	99.8917
383.838	1.01176e+07	99.8528
388.889	1.01123e+07	99.8004
393.939	1.01051e+07	99.7299
398.99	1.00956e+07	99.6355
404.04	1.00828e+07	99.5093
409.091	1.00658e+07	99.3414
414.141	1.00432e+07	99.1187
419.192	1.00134e+07	98.8245
424.242	9.97421e+06	98.4378
429.293	9.92295e+06	97.9319
434.343	9.85626e+06	97.2737
439.394	9.77002e+06	96.4226
444.444	9.65927e+06	95.3296
449.495	9.51813e+06	93.9366
454.545	9.33981e+06	92.1768
459.596	9.11675e+06	89.9753
464.646	8.84087e+06	87.2526
469.697	8.50413e+06	83.9292
474.747	8.09939e+06	79.9348
479.798	7.62172e+06	75.2205
484.848	7.07013e+06	69.7767
489.899	6.44976e+06	63.6541
494.949	5.77407e+06	56.9857
500	5.06625e+06	50
