# t = 172800 s, 2 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.50435e+07	148.467
10.101	1.48884e+07	146.937
15.1515	1.47337e+07	145.411
20.202	1.45797e+07	143.891
25.2525	1.44266e+07	142.38
30.303	1.42746e+07	140.879
35.3535	1.41239e+07	139.392
40.404	1.39746e+07	137.919
45.4545	1.38271e+07	136.463
50.5051	1.36815e+07	135.026
55.5556	1.35379e+07	133.609
60.6061	1.33966e+07	132.214
65.6566	1.32577e+07	130.843
70.7071	1.31213e+07	129.497
75.7576	1.29876e+07	128.178
80.8081	1.28568e+07	126.886
85.8586	1.27288e+07	125.624
90.9091	1.26039e+07	124.391
95.9596	1.24821e+07	123.189
101.01	1.23635e+07	122.018
106.061	1.22481e+07	120.879
111.111	1.21359e+07	119.772
116.162	1.20271e+07	118.698
121.212	1.19216e+07	117.657
126.263	1.18194e+07	116.649
131.313	1.17206e+07	115.673
136.364	1.1625e+07	114.729
141.414	1.15326e+07	113.818
146.465	1.14435e+07	112.938
151.515	1.13574e+07	112.089
156.566	1.12745e+07	111.27
161.616	1.11945e+07	110.481
166.667	1.11173e+07	109.719
171.717	1.10429e+07	108.985
176.768	1.09712e+07	108.277
181.818	1.0902e+07	107.594
186.869	1.08351e+07	106.934
191.919	1.07705e+07	106.297
196.97	1.0708e+07	105.68
202.02	1.06474e+07	105.082
207.071	1.05886e+07	104.501
212.121	1.05313e+07	103.936
217.172	1.04755e+07	103.385
222.222	1.04209e+07	102.847
227.273	1.03674e+07	102.318
232.323	1.03148e+07	101.799
237.374	1.02628e+07	101.286
242.424	1.02113e+07	100.778
247.475	1.01602e+07	100.273
252.525	1.01091e+07	99.769
257.576	1.00579e+07	99.2641
262.626	1.00065e+07	98.7565
267.677	9.9546e+06	98.2442
272.727	9.90203e+06	97.7254
277.778	9.84861e+06	97.1982
282.828	9.79415e+06	96.6608
287.879	9.73847e+06	96.1113
292.929	9.68139e+06	95.5479
297.98	9.62273e+06	94.969
303.03	9.56233e+06	94.3728
308.081	9.50001e+06	93.7578
313.131	9.43562e+06	93.1223
318.182	9.36901e+06	92.4649
323.232	9.30002e+06	91.7841
328.283	9.22853e+06	91.0785
333.333	9.15441e+06	90.347
338.384	9.07752e+06	89.5882
343.434	8.99778e+06	88.8011
348.485	8.91506e+06	87.9848
353.535	8.82929e+06	87.1383
358.586	8.74038e+06	86.2609
363.636	8.64828e+06	85.3519
368.687	8.55292e+06	84.4107
373.737	8.45425e+06	83.437
378.788	8.35227e+06	82.4305
383.838	8.24693e+06	81.3909
388.889	8.13826e+06	80.3183
393.939	8.02624e+06	79.2129
398.99	7.91092e+06	78.0747
404.04	7.79233e+06	76.9043
409.091	7.67052e+06	75.7021
414.141	7.54556e+06	74.4689
419.192	7.41753e+06	73.2054
424.242	7.28653e+06	71.9125
429.293	7.15267e+06	70.5913
434.343	7.01606e+06	69.2431
439.394	6.87684e+06	67.8691
444.444	6.73516e+06	66.4709
449.495	6.59117e+06	65.0498
454.545	6.44505e+06	63.6077
459.596	6.29698e+06	62.1464
464.646	6.14714e+06	60.6675
469.697	5.99573e+06	59.1732
474.747	5.84295e+06	57.6655
479.798	5.68903e+06	56.1464
484.848	5.53417e+06	54.618
489.899	5.37861e+06	53.0827
494.949	5.22256e+06	51.5426
500	5.06625e+06	50
