# t = 432000 s, 5 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.509e+07	148.927
10.101	1.49813e+07	147.854
15.1515	1.48726e+07	146.781
20.202	1.4764e+07	145.709
25.2525	1.46555e+07	144.638
30.303	1.45471e+07	143.568
35.3535	1.44388e+07	142.5
40.404	1.43307e+07	141.433
45.4545	1.42229e+07	140.369
50.5051	1.41152e+07	139.306
55.5556	1.40078e+07	138.246
60.6061	1.39006e+07	137.189
65.6566	1.37938e+07	136.134
70.7071	1.36872e+07	135.082
75.7576	1.3581e+07	134.034
80.8081	1.34751e+07	132.989
85.8586	1.33695e+07	131.947
90.9091	1.32644e+07	130.909
95.9596	1.31596e+07	129.875
101.01	1.30552e+07	128.845
106.061	1.29512e+07	127.818
111.111	1.28476e+07	126.796
116.162	1.27444e+07	125.777
121.212	1.26416e+07	124.763
126.263	1.25393e+07	123.753
131.313	1.24374e+07	122.748
136.364	1.23359e+07	121.746
141.414	1.22348e+07	120.748
146.465	1.21342e+07	119.755
151.515	1.20339e+07	118.765
156.566	1.19341e+07	117.78
161.616	1.18346e+07	116.798
166.667	1.17355e+07	115.82
171.717	1.16368e+07	114.846
176.768	1.15384e+07	113.875
181.818	1.14404e+07	112.908
186.869	1.13427e+07	111.944
191.919	1.12453e+07	110.982
196.97	1.11482e+07	110.024
202.02	1.10513e+07	109.068
207.071	1.09547e+07	108.115
212.121	1.08583e+07	107.163
217.172	1.07621e+07	106.214
222.222	1.06661e+07	105.266
227.273	1.05702e+07	104.32
232.323	1.04744e+07	103.374
237.374	1.03787e+07	102.43
242.424	1.02831e+07	101.486
247.475	1.01875e+07	100.543
252.525	1.0092e+07	99.6
257.576	9.99638e+06	98.6566
262.626	9.90076e+06	97.7129
267.677	9.80507e+06	96.7685
272.727	9.70927e+06	95.8231
277.778	9.61336e+06	94.8765
282.828	9.51729e+06	93.9284
287.879	9.42105e+06	92.9785
292.929	9.32461e+06	92.0267
297.98	9.22794e+06	91.0727
303.03	9.13103e+06	90.1162
308.081	9.03384e+06	89.1571
313.131	8.93637e+06	88.1951
318.182	8.83858e+06	87.23
323.232	8.74047e+06	86.2617
328.283	8.642e+06	85.2899
333.333	8.54317e+06	84.3146
338.384	8.44397e+06	83.3355
343.434	8.34437e+06	82.3526
348.485	8.24437e+06	81.3656
353.535	8.14396e+06	80.3746
358.586	8.04312e+06	79.3795
363.636	7.94186e+06	78.3801
368.687	7.84016e+06	77.3764
373.737	7.73803e+06	76.3684
378.788	7.63545e+06	75.3561
383.838	7.53244e+06	74.3394
388.889	7.42899e+06	73.3185
393.939	7.32511e+06	72.2932
398.99	7.2208e+06	71.2637
404.04	7.11607e+06	70.2301
409.091	7.01092e+06	69.1924
414.141	6.90537e+06	68.1508
419.192	6.79944e+06	67.1052
424.242	6.69312e+06	66.056
429.293	6.58645e+06	65.0032
434.343	6.47942e+06	63.947
439.394	6.37207e+06	62.8875
444.444	6.26442e+06	61.825
449.495	6.15647e+06	60.7596
454.545	6.04825e+06	59.6916
459.596	5.93979e+06	58.6212
464.646	5.83111e+06	57.5486
469.697	5.72223e+06	56.474
474.747	5.61318e+06	55.3978
479.798	5.50398e+06	54.3201
484.848	5.39466e+06	53.2412
489.899	5.28525e+06	52.1613
494.949	5.17577e+06	51.0809
500	5.06625e+06	50
