# t = 259200 s, 3 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.50703e+07	148.732
10.101	1.49419e+07	147.465
15.1515	1.48137e+07	146.2
20.202	1.46858e+07	144.937
25.2525	1.45583e+07	143.679
30.303	1.44313e+07	142.426
35.3535	1.4305e+07	141.179
40.404	1.41793e+07	139.939
45.4545	1.40545e+07	138.707
50.5051	1.39305e+07	137.483
55.5556	1.38075e+07	136.27
60.6061	1.36857e+07	135.067
65.6566	1.35649e+07	133.875
70.7071	1.34454e+07	132.696
75.7576	1.33272e+07	131.529
80.8081	1.32103e+07	130.376
85.8586	1.30949e+07	129.236
90.9091	1.29809e+07	128.112
95.9596	1.28685e+07	127.002
101.01	1.27576e+07	125.908
106.061	1.26483e+07	124.829
111.111	1.25406e+07	123.767
116.162	1.24346e+07	122.72
121.212	1.23303e+07	121.69
126.263	1.22276e+07	120.677
131.313	1.21266e+07	119.68
136.364	1.20272e+07	118.7
141.414	1.19295e+07	117.735
146.465	1.18335e+07	116.787
151.515	1.1739e+07	115.855
156.566	1.16462e+07	114.939
161.616	1.15548e+07	114.037
166.667	1.1465e+07	113.151
171.717	1.13766e+07	112.278
176.768	1.12896e+07	111.42
181.818	1.12039e+07	110.574
186.869	1.11195e+07	109.741
191.919	1.10363e+07	108.92
196.97	1.09542e+07	108.109
202.02	1.08731e+07	107.309
207.071	1.0793e+07	106.518
212.121	1.07137e+07	105.736
217.172	1.06352e+07	104.961
222.222	1.05573e+07	104.193
227.273	1.04801e+07	103.43
232.323	1.04033e+07	102.672
237.374	1.03269e+07	101.918
242.424	1.02507e+07	101.167
247.475	1.01747e+07	100.417
252.525	1.00988e+07	99.6672
257.576	1.00228e+07	98.9174
262.626	9.94668e+06	98.1661
267.677	9.87029e+06	97.4122
272.727	9.79354e+06	96.6548
277.778	9.71633e+06	95.8928
282.828	9.63856e+06	95.1252
287.879	9.56012e+06	94.3511
292.929	9.48093e+06	93.5695
297.98	9.40088e+06	92.7795
303.03	9.3199e+06	91.9802
308.081	9.23788e+06	91.1708
313.131	9.15476e+06	90.3505
318.182	9.07045e+06	89.5184
323.232	8.98488e+06	88.6739
328.283	8.89798e+06	87.8162
333.333	8.80969e+06	86.9449
338.384	8.71995e+06	86.0592
343.434	8.6287e+06	85.1587
348.485	8.53591e+06	84.2429
353.535	8.44154e+06	83.3115
358.586	8.34554e+06	82.364
363.636	8.24789e+06	81.4003
368.687	8.14857e+06	80.4201
373.737	8.04757e+06	79.4233
378.788	7.94487e+06	78.4098
383.838	7.84049e+06	77.3796
388.889	7.73442e+06	76.3328
393.939	7.62668e+06	75.2694
398.99	7.51728e+06	74.1898
404.04	7.40626e+06	73.0941
409.091	7.29364e+06	71.9827
414.141	7.17947e+06	70.8559
419.192	7.0638e+06	69.7143
424.242	6.94666e+06	68.5582
429.293	6.82813e+06	67.3884
434.343	6.70827e+06	66.2055
439.394	6.58714e+06	65.01
444.444	6.46482e+06	63.8028
449.495	6.34139e+06	62.5846
454.545	6.21693e+06	61.3563
459.596	6.09153e+06	60.1187
464.646	5.96529e+06	58.8728
469.697	5.83829e+06	57.6194
474.747	5.71064e+06	56.3597
479.798	5.58244e+06	55.0944
484.848	5.4538e+06	53.8248
489.899	5.32481e+06	52.5518
494.949	5.19559e+06	51.2765
500	5.06625e+06	50
