# t = 43200 s, 0.5 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.48814e+07	146.868
10.101	1.4566e+07	143.756
15.1515	1.42547e+07	140.683
20.202	1.39494e+07	137.67
25.2525	1.3652e+07	134.735
30.303	1.33642e+07	131.894
35.3535	1.30874e+07	129.162
40.404	1.28229e+07	126.552
45.4545	1.25717e+07	124.073
50.5051	1.23347e+07	121.734
55.5556	1.21124e+07	119.54
60.6061	1.19052e+07	117.495
65.6566	1.17132e+07	115.6
70.7071	1.15362e+07	113.853
75.7576	1.1374e+07	112.253
80.8081	1.12262e+07	110.794
85.8586	1.10923e+07	109.472
90.9091	1.09715e+07	108.28
95.9596	1.08631e+07	107.211
101.01	1.07664e+07	106.256
106.061	1.06805e+07	105.408
111.111	1.06045e+07	104.658
116.162	1.05377e+07	103.999
121.212	1.04791e+07	103.42
126.263	1.0428e+07	102.916
131.313	1.03836e+07	102.478
136.364	1.03452e+07	102.099
141.414	1.03121e+07	101.772
146.465	1.02836e+07	101.492
151.515	1.02593e+07	101.252
156.566	1.02386e+07	101.047
161.616	1.0221e+07	100.874
166.667	1.02061e+07	100.727
171.717	1.01936e+07	100.603
176.768	1.0183e+07	100.499
181.818	1.01742e+07	100.411
186.869	1.01668e+07	100.338
191.919	1.01606e+07	100.277
196.97	1.01554e+07	100.226
202.02	1.01511e+07	100.184
207.071	1.01476e+07	100.149
212.121	1.01446e+07	100.119
217.172	1.01421e+07	100.095
222.222	1.014e+07	100.074
227.273	1.01383e+07	100.057
232.323	1.01368e+07	100.042
237.374	1.01354e+07	100.029
242.424	1.01342e+07	100.017
247.475	1.01331e+07	100.006
252.525	1.0132e+07	99.9946
257.576	1.01308e+07	99.9834
262.626	1.01296e+07	99.9715
267.677	1.01283e+07	99.9583
272.727	1.01268e+07	99.9434
277.778	1.0125e+07	99.926
282.828	1.01229e+07	99.9056
287.879	1.01205e+07	99.8812
292.929	1.01175e+07	99.8521
297.98	1.0114e+07	99.8171
303.03	1.01097e+07	99.775
308.081	1.01046e+07	99.7244
313.131	1.00984e+07	99.6637
318.182	1.00911e+07	99.591
323.232	1.00822e+07	99.504
328.283	1.00717e+07	99.4004
333.333	1.00593e+07	99.2771
338.384	1.00445e+07	99.1311
343.434	1.0027e+07	98.9585
348.485	1.00064e+07	98.7553
353.535	9.98221e+06	98.5168
358.586	9.95396e+06	98.238
363.636	9.92105e+06	97.9132
368.687	9.88287e+06	97.5363
373.737	9.83873e+06	97.1007
378.788	9.78792e+06	96.5992
383.838	9.72967e+06	96.0244
388.889	9.66319e+06	95.3683
393.939	9.58764e+06	94.6226
398.99	9.50217e+06	93.7792
404.04	9.40595e+06	92.8295
409.091	9.29812e+06	91.7653
414.141	9.17789e+06	90.5787
419.192	9.04451e+06	89.2623
424.242	8.8973e+06	87.8095
429.293	8.73569e+06	86.2145
434.343	8.55924e+06	84.4731
439.394	8.36766e+06	82.5824
444.444	8.16084e+06	80.5412
449.495	7.93885e+06	78.3504
454.545	7.70201e+06	76.013
459.596	7.45085e+06	73.5342
464.646	7.18613e+06	70.9216
469.697	6.90888e+06	68.1853
474.747	6.62034e+06	65.3377
479.798	6.32199e+06	62.3932
484.848	6.01549e+06	59.3683
489.899	5.7027e+06	56.2813
494.949	5.38559e+06	53.1517
500	5.06625e+06	50
